"","y","site","year","month","pocc","socc","season","aspect","habitat","elevation","slope","rugg","popden","roadden","distpop","distroad"
"158",0,158,2007,12,1,1,1,1,4,1.032,1.75190184676653,4,3.33123931884766,0.111432261765003,3.26305078125,0.56568544921875
"159",0,159,2007,12,1,1,1,1,3,1.13,1.77018502327788,6,3.06717395782471,0.111259467899799,3.51105390625,0.82462109375
"160",0,160,2007,12,1,1,1,1,3,1.052,2.51420232446893,6,3.33123931884766,0.109272949397564,3.456515625,0.72111025390625
"161",0,161,2007,12,1,1,1,1,3,1.13,1.77018502327788,6,3.094407081604,0.111259467899799,3.51105390625,0.82462109375
"162",0,162,2007,12,1,1,1,0,2,1.043,2.39684550016707,6,2.92646751403809,0.11164840310812,3.389321484375,1
"163",0,163,2007,12,1,1,1,0,2,1.071,3.73336274684894,4,3.05988388061523,0.113219253718853,3.13169296875,0.8944271484375
"164",1,164,2007,12,1,1,1,0,2,1.016,0.764359897507546,4,3.08454494476318,0.112426973879337,3.32076796875,0.8944271484375
"165",0,165,2007,12,1,1,1,0,2,1.011,4.69893876503802,7,2.93537368774414,0.112323895096779,3.204294140625,0.72111025390625
"166",0,166,2007,12,1,1,1,0,3,0.747,6.59954686816618,4,3.22793197631836,0.112399406731129,2.688401171875,0.44721357421875
"167",0,167,2007,12,1,1,1,1,4,1.052,2.51420232446893,6,3.35981407165527,0.109272949397564,3.456515625,0.632455517578125
"168",1,168,2007,12,1,1,1,0,4,1.22,3.20248751567296,6,3.28781127929688,0.113328889012337,3.021175390625,0.82462109375
"169",0,169,2007,12,1,1,1,1,4,1.039,3.34566577860641,6,3.52609405517578,0.110403515398502,3.216753125,0.56568544921875
"170",0,170,2007,12,1,1,1,0,3,1.22,2.25442524238444,6,3.28781127929688,0.113328889012337,3.021175390625,0.72111025390625
"171",0,171,2007,12,1,1,1,0,3,0.858,7.16380136563081,4,3.43289833068848,0.112774655222893,2.632014453125,0.4
"330",1,159,2008,1,1,2,1,1,3,1.13,1.77018502327788,6,3.06717395782471,0.111259467899799,3.51105390625,0.82462109375
"331",0,160,2008,1,1,2,1,1,3,1.052,2.51420232446893,6,3.33123931884766,0.109272949397564,3.456515625,0.72111025390625
"332",0,161,2008,1,1,2,1,1,3,1.13,1.77018502327788,6,3.094407081604,0.111259467899799,3.51105390625,0.82462109375
"333",0,162,2008,1,1,2,1,0,2,1.043,2.39684550016707,6,2.92646751403809,0.11164840310812,3.389321484375,1
"334",0,163,2008,1,1,2,1,0,2,1.071,3.73336274684894,4,3.05988388061523,0.113219253718853,3.13169296875,0.8944271484375
"335",0,164,2008,1,1,2,1,0,2,1.016,0.764359897507546,4,3.08454494476318,0.112426973879337,3.32076796875,0.8944271484375
"336",0,165,2008,1,1,2,1,0,2,1.011,4.69893876503802,7,2.93537368774414,0.112323895096779,3.204294140625,0.72111025390625
"337",1,166,2008,1,1,2,1,0,3,0.747,6.59954686816618,4,3.22793197631836,0.112399406731129,2.688401171875,0.44721357421875
"338",0,167,2008,1,1,2,1,1,4,1.052,2.51420232446893,6,3.35981407165527,0.109272949397564,3.456515625,0.632455517578125
"339",1,168,2008,1,1,2,1,0,4,1.22,3.20248751567296,6,3.28781127929688,0.113328889012337,3.021175390625,0.82462109375
"340",0,169,2008,1,1,2,1,1,4,1.039,3.34566577860641,6,3.52609405517578,0.110403515398502,3.216753125,0.56568544921875
"341",0,170,2008,1,1,2,1,0,3,1.22,2.25442524238444,6,3.28781127929688,0.113328889012337,3.021175390625,0.72111025390625
